Entity,Field,Type,Required,PK,FK,References,Calculated,Description,Source,Status
Invitation,expires_at,DATETIME,YES,NO,NO,,NO,Invitation expiry,MANAGER,PLANNED
,,,,,,,,,,
AuditLog,id,UUID,YES,YES,NO,,NO,Unique audit record,MANAGER,PLANNED
AuditLog,timestamp,DATETIME,YES,NO,NO,,NO,Time of action,MANAGER,PLANNED
AuditLog,user_id,UUID,NO,NO,YES,User.id,NO,User performing action,MANAGER,PLANNED
AuditLog,action,TEXT,YES,NO,NO,,NO,Action performed,MANAGER,PLANNED
AuditLog,entity,TEXT,YES,NO,NO,,NO,Entity affected,MANAGER,PLANNED
AuditLog,record_id,UUID,NO,NO,NO,,NO,Affected record,MANAGER,PLANNED
AuditLog,reason,TEXT,NO,NO,NO,,NO,Reason for change,MANAGER,PLANNED
,,,,,,,,,,
Notification,id,UUID,YES,YES,NO,,NO,Unique notification,MANAGER,PLANNED
Notification,user_id,UUID,YES,NO,YES,User.id,NO,Recipient,MANAGER,PLANNED
Notification,type,ENUM,YES,NO,NO,,NO,Notification type,MANAGER,PLANNED
Notification,message,TEXT,YES,NO,NO,,NO,Notification message,MANAGER,PLANNED
Notification,read_at,DATETIME,NO,NO,NO,,NO,Read timestamp,MANAGER,PLANNED
,,,,,,,,,,
RSVP,id,UUID,YES,YES,NO,,NO,Unique RSVP,MANAGER,PLANNED
RSVP,user_id,UUID,YES,NO,YES,User.id,NO,User,MANAGER,PLANNED
RSVP,event_type,ENUM,YES,NO,NO,,NO,Event type,MANAGER,PLANNED
RSVP,event_id,UUID,YES,NO,NO,,NO,Event identifier,MANAGER,PLANNED
RSVP,status,ENUM,YES,NO,NO,,NO,Response,MANAGER,PLANNED
,,,,,,,,,,
Message,id,UUID,YES,YES,NO,,NO,Unique message,MANAGER,PLANNED
Message,sender_user_id,UUID,YES,NO,YES,User.id,NO,Sender,MANAGER,PLANNED
Message,receiver_user_id,UUID,YES,NO,YES,User.id,NO,Receiver,MANAGER,PLANNED
Message,content,TEXT,YES,NO,NO,,NO,Message content,MANAGER,PLANNED
Message,sent_at,DATETIME,YES,NO,NO,,NO,Message timestamp,MANAGER,PLANNED
Message,read_at,DATETIME,NO,NO,NO,,NO,Read timestamp,MANAGER,PLANNED
,,,,,,,,,,
Person,id,UUID,YES,YES,NO,NO,NO,Unique person identifier,MANAGER,PLANNED
Person,first_name,TEXT,YES,NO,NO,NO,NO,Voornaam,MANAGER,PLANNED
Person,last_name,TEXT,YES,NO,NO,NO,NO,Achternaam,MANAGER,PLANNED
Person,date_of_birth,DATE,NO,NO,NO,NO,NO,Geboortedatum,MANAGER,PLANNED
Person,nationality,TEXT,NO,NO,NO,NO,NO,Nationaliteit,MANAGER,PLANNED
Person,gender,ENUM,NO,NO,NO,NO,NO,Geslacht,MANAGER,PLANNED
,,,,,,,,,,
User,person_id,UUID,YES,NO,YES,Person.id,NO,Koppeling van User naar Person,MANAGER,PLANNED
,,,,,,,,,,
Player,person_id,UUID,YES,NO,YES,Person.id,NO,Koppeling van Player naar Person,MANAGER,PLANNED
,,,,,,,,,,
Official,person_id,UUID,YES,NO,YES,Person.id,NO,Koppeling van Official naar Person,MANAGER,PLANNED
,,,,,,,,,,
Role,id,UUID,YES,YES,NO,NO,NO,Unique role identifier,MANAGER,PLANNED
Role,name,TEXT,YES,NO,NO,NO,NO,Naam van de rol (bijv. League Admin),MANAGER,PLANNED
,,,,,,,,,,
UserRole,id,UUID,YES,YES,NO,NO,NO,Unique User-Role link,MANAGER,PLANNED
UserRole,user_id,UUID,YES,NO,YES,User.id,NO,Gebruiker,MANAGER,PLANNED
UserRole,role_id,UUID,YES,NO,YES,Role.id,NO,Toegekende rol,MANAGER,PLANNED
,,,,,,,,,,
Permission,id,UUID,YES,YES,NO,NO,NO,Unique permission id,MANAGER,PLANNED
Permission,code,TEXT,YES,NO,NO,NO,NO,Permissie code (bijv. view_finance),MANAGER,PLANNED
,,,,,,,,,,
RolePermission,id,UUID,YES,YES,NO,NO,NO,Unique Role-Permission link,MANAGER,PLANNED
RolePermission,role_id,UUID,YES,NO,YES,Role.id,NO,Rol,MANAGER,PLANNED
RolePermission,permission_id,UUID,YES,NO,YES,Permission.id,NO,Permissie,MANAGER,PLANNED
,,,,,,,,,,
ShotEvent,id,UUID,YES,YES,NO,NO,NO,Unique shot event,MANAGER,PLANNED
ShotEvent,game_id,UUID,YES,NO,YES,Game.id,NO,Wedstrijd,MANAGER,PLANNED
ShotEvent,player_id,UUID,YES,NO,YES,Player.id,NO,Schietende speler,MANAGER,PLANNED
ShotEvent,goalie_id,UUID,NO,NO,YES,Player.id,NO,Keepende speler,MANAGER,PLANNED
ShotEvent,period,INTEGER,YES,NO,NO,NO,NO,Periode van het schot,MANAGER,PLANNED
ShotEvent,time,TEXT,YES,NO,NO,NO,NO,Tijd in de periode,MANAGER,PLANNED
ShotEvent,x_coordinate,DECIMAL,YES,NO,NO,NO,NO,X-coördinaat op het ijsoppervlak,MANAGER,PLANNED
ShotEvent,y_coordinate,DECIMAL,YES,NO,NO,NO,NO,Y-coördinaat op het ijsoppervlak,MANAGER,PLANNED
ShotEvent,shot_type,ENUM,NO,NO,NO,NO,NO,"Type (Wrist, Slap, Backhand, Snap)",MANAGER,PLANNED
ShotEvent,result,ENUM,YES,NO,NO,NO,NO,"Resultaat (Goal, Save, Miss, Blocked, Post)",MANAGER,PLANNED
,,,,,,,,,,
Staff,id,UUID,YES,YES,NO,NO,NO,Unique staff identifier,MANAGER,PLANNED
Staff,person_id,UUID,YES,NO,YES,Person.id,NO,Persoonsrecord,MANAGER,PLANNED
Staff,role_type,ENUM,YES,NO,NO,NO,NO,"Functie (Head Coach, Fysio, Manager)",MANAGER,PLANNED
,,,,,,,,,,
StaffTeam,id,UUID,YES,YES,NO,NO,NO,Staff-Team relationship,MANAGER,PLANNED
StaffTeam,staff_id,UUID,YES,NO,YES,Staff.id,NO,Staflid,MANAGER,PLANNED
StaffTeam,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
StaffTeam,season_id,UUID,NO,NO,YES,Season.id,NO,Seizoen,MANAGER,PLANNED
,,,,,,,,,,
Injury,id,UUID,YES,YES,NO,NO,NO,Unique injury record,MANAGER,PLANNED
Injury,person_id,UUID,YES,NO,YES,Person.id,NO,Geblesseerde persoon,MANAGER,PLANNED
Injury,description,TEXT,YES,NO,NO,NO,NO,Aard van de blessure,MANAGER,PLANNED
Injury,injury_date,DATE,YES,NO,NO,NO,NO,Datum blessure opgelopen,MANAGER,PLANNED
Injury,expected_return,DATE,NO,NO,NO,NO,NO,Verwachte retourdatum,MANAGER,PLANNED
,,,,,,,,,,
Suspension,id,UUID,YES,YES,NO,NO,NO,Unique suspension record,MANAGER,PLANNED
Suspension,person_id,UUID,YES,NO,YES,Person.id,NO,Geschorste persoon,MANAGER,PLANNED
Suspension,game_count,INTEGER,NO,NO,NO,NO,NO,Aantal wedstrijden schorsing,MANAGER,PLANNED
,,,,,,,,,,
Standing,id,UUID,YES,YES,NO,NO,NO,Unique standing record,MANAGER,PLANNED
Standing,competition_id,UUID,YES,NO,YES,Competition.id,NO,Competitie,MANAGER,PLANNED
Standing,team_id,UUID,YES,NO,YES,Team.id,NO,Team,MANAGER,PLANNED
Standing,points,INTEGER,YES,NO,NO,NO,YES,Totaal aantal punten,MANAGER,PLANNED
Standing,games_played,INTEGER,YES,NO,NO,NO,YES,Gespeelde wedstrijden,MANAGER,PLANNED
,,,,,,,,,,
Faceoff,id,UUID,YES,YES,NO,NO,NO,Unique faceoff event,MANAGER,PLANNED
Faceoff,game_id,UUID,YES,NO,YES,Game.id,NO,Wedstrijd,MANAGER,PLANNED
Faceoff,x_coordinate,DECIMAL,YES,NO,NO,NO,NO,X-coördinaat van de faceoff stip,MANAGER,PLANNED
Faceoff,y_coordinate,DECIMAL,YES,NO,NO,NO,NO,Y-coördinaat van de faceoff stip,MANAGER,PLANNED
Faceoff,won_by_player_id,UUID,YES,NO,YES,Player.id,NO,Speler die faceoff wint,MANAGER,PLANNED
Faceoff,lost_by_player_id,UUID,YES,NO,YES,Player.id,NO,Speler die faceoff verliest,MANAGER,PLANNED
,,,,,,,,,,
Shift,id,UUID,YES,YES,NO,NO,NO,Unique shift record,MANAGER,PLANNED
Shift,game_id,UUID,YES,NO,YES,Game.id,NO,Wedstrijd,MANAGER,PLANNED
Shift,player_id,UUID,YES,NO,YES,Player.id,NO,Speler op het ijs,MANAGER,PLANNED
Shift,start_time,TEXT,YES,NO,NO,NO,NO,Tijdstip op het ijs gestapt,MANAGER,PLANNED
,,,,,,,,,,
Booking,id,UUID,YES,YES,NO,,NO,Unique Booking identifier,MANAGER,PLANNED
,,,,,,,,,,
Hit,id,UUID,YES,YES,NO,,NO,Unique Hit identifier,MANAGER,PLANNED
,,,,,,,,,,
MediaAsset,id,UUID,YES,YES,NO,,NO,Unique MediaAsset identifier,MANAGER,PLANNED
,,,,,,,,,,
RetiredNumber,id,UUID,YES,YES,NO,,NO,Unique RetiredNumber identifier,MANAGER,PLANNED
,,,,,,,,,,
Line,id,UUID,YES,YES,NO,,NO,Unique Line identifier,MANAGER,PLANNED
,,,,,,,,,,
PlayoffSeries,id,UUID,YES,YES,NO,,NO,Unique PlayoffSeries identifier,MANAGER,PLANNED
,,,,,,,,,,
TournamentDivision,id,UUID,YES,YES,NO,,NO,Unique TournamentDivision identifier,MANAGER,PLANNED
,,,,,,,,,,
Ticket,id,UUID,YES,YES,NO,,NO,Unique Ticket identifier,MANAGER,PLANNED
,,,,,,,,,,
Player,GamesPlayed,INTEGER,NO,NO,NO,,YES,Aantal wedstrijden waarin speler daadwerkelijk heeft gespeeld,HKS,ACTIVE
Player,Goals,INTEGER,NO,NO,NO,,YES,Totaal aantal doelpunten van speler,HKS,ACTIVE
Player,Assists,INTEGER,NO,NO,NO,,YES,Totaal aantal assists van speler,HKS,ACTIVE
Player,Points,INTEGER,NO,NO,NO,,YES,Totaal aantal punten van speler,HKS,ACTIVE
Player,PlusMinus,INTEGER,NO,NO,NO,,YES,Plus/minus van speler,MANAGER,PLANNED
Player,GoalsPerGame,DECIMAL,NO,NO,NO,,YES,Gemiddeld aantal doelpunten per wedstrijd,MANAGER,PLANNED
Player,AssistsPerGame,DECIMAL,NO,NO,NO,,YES,Gemiddeld aantal assists per wedstrijd,MANAGER,PLANNED
Player,PointsPerGame,DECIMAL,NO,NO,NO,,YES,Gemiddeld aantal punten per wedstrijd,MANAGER,PLANNED
,,,,,,,,,,
Team,TeamWins,INTEGER,NO,NO,NO,,YES,Aantal gewonnen wedstrijden,MANAGER,PLANNED
Team,TeamLosses,INTEGER,NO,NO,NO,,YES,Aantal verloren wedstrijden,MANAGER,PLANNED
Team,TeamTies,INTEGER,NO,NO,NO,,YES,Aantal gelijke wedstrijden,MANAGER,PLANNED
Team,TeamOTL,INTEGER,NO,NO,NO,,YES,Aantal overtime losses,MANAGER,PLANNED
Team,TeamSOL,INTEGER,NO,NO,NO,,YES,Aantal shootout losses,MANAGER,PLANNED
Team,GoalsFor,INTEGER,NO,NO,NO,,YES,Totaal gescoorde doelpunten,MANAGER,PLANNED
Team,GoalsAgainst,INTEGER,NO,NO,NO,,YES,Totaal tegendoelpunten,MANAGER,PLANNED
Team,GoalDifference,INTEGER,NO,NO,NO,,YES,Doelsaldo,MANAGER,PLANNED
Team,GamesPlayedTeam,INTEGER,NO,NO,NO,,YES,Aantal gespeelde wedstrijden,MANAGER,PLANNED
Team,WinPercentage,DECIMAL,NO,NO,NO,,YES,Gewonnen percentage,MANAGER,PLANNED
Team,StandingsPoints,INTEGER,NO,NO,NO,,YES,Punten voor ranglijst,MANAGER,PLANNED
Team,StandingsRank,INTEGER,NO,NO,NO,,YES,Rangpositie,MANAGER,PLANNED
,,,,,,,,,,
Game,GoalCount,INTEGER,NO,NO,NO,,YES,Aantal doelpunten in wedstrijd,HKS,ACTIVE
Game,GoalsAgainst,INTEGER,NO,NO,NO,,YES,Aantal tegendoelpunten,HKS,ACTIVE
Game,ShootingPercentage,DECIMAL,NO,NO,NO,,YES,Schotpercentage,HKS,ACTIVE
Game,SavePercentage,DECIMAL,NO,NO,NO,,YES,Save percentage goalie,HKS,ACTIVE
Game,PowerPlayGoals,INTEGER,NO,NO,NO,,YES,Aantal powerplay goals,HKS,ACTIVE
Game,ShortHandedGoals,INTEGER,NO,NO,NO,,YES,Aantal short-handed goals,HKS,ACTIVE
,,,,,,,,,,
PlayerSeason,PlayerSeasonGoals,INTEGER,NO,NO,NO,,YES,Totaal goals in seizoen,HKS + MANAGER,ACTIVE
PlayerSeason,PlayerSeasonAssists,INTEGER,NO,NO,NO,,YES,Totaal assists in seizoen,HKS + MANAGER,ACTIVE
PlayerSeason,PlayerSeasonPoints,INTEGER,NO,NO,NO,,YES,Totaal punten in seizoen,HKS + MANAGER,ACTIVE
PlayerSeason,PlayerSeasonGames,INTEGER,NO,NO,NO,,YES,Aantal wedstrijden in seizoen,HKS + MANAGER,ACTIVE
,,,,,,,,,,
TeamSeason,TeamSeasonWins,INTEGER,NO,NO,NO,,YES,Aantal overwinningen in seizoen,MANAGER,PLANNED
TeamSeason,TeamSeasonLosses,INTEGER,NO,NO,NO,,YES,Aantal nederlagen in seizoen,MANAGER,PLANNED
TeamSeason,TeamSeasonGoalsFor,INTEGER,NO,NO,NO,,YES,Doelpunten voor in seizoen,MANAGER,PLANNED
TeamSeason,TeamSeasonGoalsAgainst,INTEGER,NO,NO,NO,,YES,Tegendoelpunten in seizoen,MANAGER,PLANNED
TeamSeason,TeamSeasonGoalDifference,INTEGER,NO,NO,NO,,YES,Doelsaldo in seizoen,MANAGER,PLANNED
GoalieAppearance,time_on_ice_minutes,DECIMAL,YES,NO,NO,NO,NO,Gespeelde tijd in minuten (nodig voor GAA),MANAGER,PLANNED
GoalieAppearance,decision,ENUM,NO,NO,NO,NO,NO,"Resultaat voor de goalie (W, L, OTL, None)",MANAGER,PLANNED
TeamGameStats,power_play_opportunities,INTEGER,NO,NO,NO,NO,NO,Aantal powerplay kansen (nodig voor PP%),MANAGER,PLANNED
TeamGameStats,penalty_kill_opportunities,INTEGER,NO,NO,NO,NO,NO,Aantal penalty kill situaties (nodig voor PK%),MANAGER,PLANNED
TeamAffiliation,id,UUID,YES,YES,NO,,NO,Unieke identifier,MANAGER,PLANNED
TeamAffiliation,parent_team_id,UUID,YES,NO,YES,Team.id,NO,Verwijzing naar het hoofdteam,MANAGER,PLANNED
TeamAffiliation,affiliate_team_id,UUID,YES,NO,YES,Team.id,NO,Verwijzing naar het partnerteam/farm-team,MANAGER,PLANNED
TeamAffiliation,start_date,DATE,YES,NO,NO,,NO,Startdatum van de affiliatie,MANAGER,PLANNED
TeamAffiliation,end_date,DATE,NO,NO,NO,,NO,Einddatum van de affiliatie,MANAGER,PLANNED
TeamAffiliation,affiliation_type,TEXT,YES,NO,NO,,NO,Type affiliatie (bijv. NHL/AHL),MANAGER,PLANNED
